Initial Text,Completed Text
The woman is washing tin bowls in a tin,basin with yellow wristband is smiling.
A man is seen singing into a microphone and playing banjo with a guitar nearby while sitting on,a stool at a festival where there are booths featuring items for sale.
Two men taking a picture together with the,phone of one of the men
A boy wearing a white top is resting on,his scooter beside a concrete post.
child with a green apple in his mouth,is wearing a red life jacket
A young boy with brown hair and green eyes looks,at the camera and sticks his tongue out.
Three Caucasian children are looking out of a,bared area with their mouths open.
A white male in black and red swim trunks,is jumping into an indoor pool.
A woman in a costume wearing,condoms in her hair.
A man walking past two dogs,tied up outside a storefront.
A man standing next to a,wheelbarrow full of bricks.
A woman in a purple shirt is standing on,a city street with her arms crossed.
A concert with many people in the,audience taking place at Jewels Square.
A policeman is,riding a motorcycle.
An old man pushes a cart,past a shoe store.
A female in a nice sweater,hand making something creative.
A baker is showing,off her bread.
"Two men, one in a black shirt, the other","wearing a jacket, piling up wheat."
A guy with white pants and,a black hat is juggling.
The people are getting ready for,the show to begin.
A man is standing beside two other men,while reading a piece of paper.
Woman gets her hand kissed by,living statue street artist.
A group of older individuals crowd around a table which,has an individual in yellow behind it.
Two girls wearing dresses are standing,on a bricked sidewalk.
A playful dog running across the snowy field,with a stick in its mouth.
A person on a dirt bike,soaring through the air sideways.
A man attempts to push another,who is carrying a ball.
A rock band in a small,club performing and sweating.
A wet dog catches,seaweed in his mouth.
A group of people stand in,front of a rock formation.
"A reporter in a pinstripe suit, asks questions of an important man in a brown","suit on a basketball court, while a cameraman records the interaction."
A dog,runs outside.
A man is cleaning the,walkway at an airport.
A man sitting on a stool under a blue and,white umbrella indicates something with his free hand.
The man is holding a baby,near a carnival game.
A motorcyclist is performing,a trick in midair.
A woman in a,black dress looking surprised.
A BMX cyclist is doing a stunt on a,riverbank across the river from a factory.
Two people walk towards a person,with three miniature horses.
A dolphin is jumping,out of the water.
A girl on a city street is,looking at a guitar player.
A man wearing black is,looking over a cliff.
A man waits for his dinner,at a German restaurant.
Two people with odd hair sit in,front of a laptop computer.
The person in green dress,is crossing the signal.
"Soccer competition, with two boys in",red and one in blue
A man sitting,on a windowsill.
Four Japanese teenagers are,lounging and looking around.
A Caucasian young woman in a white hooded sweatshirt sits at a,table set for two in a lowly lit restaurant.
"A basketball player wearing a green and yellow trimmed white uniform,",has just made a basket during a game.
Two teenagers playing with birds and insects in a,compound next to their home in california.
A woman in jeans and a sweater,is packing a rubber tote.
A Motocross rider is midair with,dense clouds in the sky.
"A man with glasses, a gray button-up shirt and black pants is standing next to a stage used for presentations and is","using a power tool to grind an object next to a sawhorse, emitting many sparks downward."
A boy is dribbling a basketball,during a basketball game.
A toddler boy in a red tank top and khaki shorts walks on the European street,with a woman in a white top and faded blue jeans.
A young boy wearing green goggles,and blue pants skiing.
Four football players walk across a field,holding their helmets above their head.
A boy dribbles a soccer ball in a grass,field next to a parking lot.
People are looking a figure,holding a multicolored umbrella.
Two vehicles are parked outside,a small grocery store.
Man playing with a brown dog,on a dirt path.
little kid in red,pooh shirt getting wet
a woman passes by with her child and her,belongings in baskets on her back.
A group of young people are hanging out,together outside in a commercial area.
A smiling middle-aged man wearing over-sized red sunglasses and a colorful patterned shirt,sits in the grass in front of a blue-green backdrop.
A man with a beard sits on a bench,with a cloak and fancy hat.
A man standing behind a small black and,white dog doing a back flip.
A group of skaters are,at a skate park.
A child is playing among a flock,of birds in the park.
Many people are walking through,a crowded outdoor marketplace.
A person with a purple head covering and purple,shirt is standing outside a restaurant.
A guard is on the look,out while on duty.
four kids playfully pose,in unusual architectural structure
A woman texting while,her friends look sad.
A football player wearing a blue jersey getting,his leg examined by a trainer.
A man is,playing a guitar.
"Two dogs stand on sand surrounded by water, a deflated",basketball and a person on a horse.
A small girl walking through a,greenhouse with a brick path.
An overhead view of,a racing motorcycle.
A woman in a gray shirt and black,Capris is running along a road.
a group of teenagers are jumping in,the air on the beach.
An Australian shepherd dog carrying a,newspaper in his mouth.
"A man wearing glasses, a white shirt and tie, and slacks stands",by a bed that has white pillows on it.
A gymnast wearing a blue outfit grabs onto the,parallel bars and does a handstand.
A young women wearing a black and red dance,outfit is performing a leaping dance move.
